Title,Artist,Type
The Weight,The Band,Rock!
These Boots Are Made For Walkin',Nancy Sinatra,Banger!
This Land Is Your Land,Pete Seeger,Banger!
This Love,Maroon 5,Happy!
Thunderstruck,AC/DC,Rock!
Tiny Dancer,Elton John,Banger!
Titanium,David Guetta,Banger!
Torn,Natalie Imbruglia,Soulful!
Total Eclipse Of The Heart,Bonnie Tyler,Power Ballad!
Toxic,Britney Spears,Happy!
Umbrella,Rihanna and Jay Z,Happy!
Unbreak My Heart,Toni Braxton,Ballad!
Under Pressure,Queen,Rock!
Under The Boardwalk,The Drifters,Soulful!
Under The Sea,The Little Mermaid,Happy!
Unforgettable,Nat King Cole,Soulful!
Unwritten,Natasha Bedingfield,Happy!
Uptight (Everything's Alright),Stevie Wonder,Happy!
Uptown girl,Billy Joel,Happy!
Use Somebody,Kings of Leon,Rock!
Valerie (Acoustic),Amy Winehouse,Soulful!
Vogue,Madonna,Banger!
Walking On Sunshine,Katrina And The Waves,Happy!
Wannabe,Spice Girls,Happy!
Waterfalls,TLC,Happy!
We Are Family,Sister Sledge,Banger!
We Are The Champions,Queen,Banger!
We Are The World,USA For Africa,Banger!
We Will Rock You,Queen,Banger!
We've Got Tonight,Ronan Keating,Duet!
What Do You Mean?,Justin Bieber,Banger!
What's Love Got To Do With It,Tina Turner,Banger!
When I Fall In Love,Nat King Cole,
When I Was Your Man,Bruno Mars,Soulful!
When the Saints Go Marching In,Louis Armstrong,Happy!
When You Say Nothing At All,Ronan Keating,Ballad!
While My Guitar Gently Weeps,Santana,Soulful!
White Wedding,Billy Idol,Rock!
Whole Lotta Rosie,AC/DC,Rock!
Wish You Were Here,Pink Floyd,Ballad!
With A Little Help From My Friends,Joe Cocker,Banger!
With or Without You,U2,Rock!
Wonderful Tonight,Eric Clapton,Ballad!
Wonderwall,Oasis,Rock!
Wrecking Ball,Miley Cyrus,Banger!
Y.M.C.A,Village People,Happy!
Yesterday,The Beatles,Ballad!
Yesterday,Eva Cassidy,Ballad!
You Are So Beautiful,Joe Cocker,Soulful!
You Keep Me Hangin' On,The Supremes,Banger!
You Know I'm No Good,Amy Winehouse,Soulful!
You Oughta Know,Alanis Morissette,Soulful!
You Raise Me Up,Josh Groban,Ballad!
You Shook Me All Night Long,AC/DC,Rock!
"You're The First, The Last, My Everything",Barry White,Banger!
You're The One That I Want,Grease,Happy!
You've Got A Friend,James Taylor,Banger!
Your Cheatin' Heart,"Hank Williams, Sr.",Soulful!
Your Song,Elton John,Banger!
Zombie,The Cranberries,Rock!
